TEST-NEME      ;TIME            ;TIME(HH:MM:SS.CC);DATE;TIME;COUNT;AVG;
BEFORE         ;0000000000000484;00:00:04.84;20251126;;;;
BEFORE         ;0000000000000180;00:00:01.80;20251126;;;;
BEFORE         ;0000000000000174;00:00:01.74;20251126;;;;
BEFORE         ;0000000000000163;00:00:01.63;20251126;;;;
BEFORE         ;0000000000000169;00:00:01.69;20251126;;;;
BEFORE         ;0000000000000166;00:00:01.66;20251126;;;;
BEFORE         ;0000000000000159;00:00:01.59;20251126;;;;
BEFORE         ;0000000000000163;00:00:01.63;20251126;;;;
BEFORE         ;0000000000000169;00:00:01.69;20251126;;;;
BEFORE         ;0000000000000160;00:00:01.60;20251126;;;;
AFTER          ;0000000000000153;00:00:01.53;20251126;;;;
AFTER          ;0000000000000161;00:00:01.61;20251126;;;;
AFTER          ;0000000000000153;00:00:01.53;20251126;;;;
AFTER          ;0000000000000160;00:00:01.60;20251126;;;;
AFTER          ;0000000000000161;00:00:01.61;20251126;;;;
AFTER          ;0000000000000154;00:00:01.54;20251126;;;;
AFTER          ;0000000000000172;00:00:01.72;20251126;;;;
AFTER          ;0000000000000158;00:00:01.58;20251126;;;;
AFTER          ;0000000000000158;00:00:01.58;20251126;;;;
AFTER          ;0000000000000155;00:00:01.55;20251126;;;;
TEST           ;0000000000000147;00:00:01.47;20251126;;;;
TEST           ;0000000000000162;00:00:01.62;20251126;;;;
TTT            ;0000000000000164;00:00:01.64;20251126;;;;
TTTT           ;0000000000000173;00:00:01.73;20251126;;;;
TTTTTTT        ;0000000000000190;00:00:01.90;20251126;;;;
QAQ            ;0000000000000302;00:00:03.02;20251126;;;;
FLOORRRR       ;0000000000000299;00:00:02.99;20251126;;;;
FLOOO          ;0000000000000329;00:00:03.29;20251126;;;;
FLOOOOOR       ;0000000000000342;00:00:03.42;20251126;;;;
QQ             ;0000000000000258;00:00:02.58;20251126;;;;
123            ;0000000000000003;00:00:00.03;20251126;;;;
TESTTTTT       ;0000000000000285;00:00:02.85;20251126;;;;
TEST           ;0000000000000281;00:00:02.81;20251126;;;;
TEST           ;0000000000000178;00:00:01.78;20251126;;;;
????           ;0000000000000156;00:00:01.56;20251127;;;;
